Iteration  100, dt   22.8335346826, T[GXB-CO][GYB-CO]=   0.0000000000
Iteration  200, dt   11.3813763082, T[GXB-CO][GYB-CO]=   0.0000000000
Iteration  300, dt    7.5782364562, T[GXB-CO][GYB-CO]=   0.0000000000
Iteration  400, dt    5.6841701843, T[GXB-CO][GYB-CO]=   0.0000000000
Iteration  500, dt    4.5447517502, T[GXB-CO][GYB-CO]=   0.0000000000
Iteration  600, dt    3.7873022700, T[GXB-CO][GYB-CO]=   0.0000000000
Iteration  700, dt    3.2442922892, T[GXB-CO][GYB-CO]=   0.0000000000
Iteration  800, dt    2.8379031763, T[GXB-CO][GYB-CO]=   0.0000000000
Iteration  900, dt    2.5213454400, T[GXB-CO][GYB-CO]=   0.0000000000
Iteration 1000, dt    2.2689138558, T[GXB-CO][GYB-CO]=   0.0000000000
Iteration 1100, dt    2.0619601239, T[GXB-CO][GYB-CO]=   0.0000000000
Iteration 1200, dt    1.8894493965, T[GXB-CO][GYB-CO]=   0.0000000000
Iteration 1300, dt    1.7439885603, T[GXB-CO][GYB-CO]=   0.0000000000
Iteration 1400, dt    1.6189515930, T[GXB-CO][GYB-CO]=   0.0000000000
Iteration 1500, dt    1.5104311294, T[GXB-CO][GYB-CO]=   0.0000000000
Iteration 1600, dt    1.4155121612, T[GXB-CO][GYB-CO]=   0.0000000000
Iteration 1700, dt    1.3321669771, T[GXB-CO][GYB-CO]=   0.0000000000
Iteration 1800, dt    1.2579964042, T[GXB-CO][GYB-CO]=   0.0000000000
Iteration 1900, dt    1.1915764673, T[GXB-CO][GYB-CO]=   0.0000000000
Iteration 2000, dt    1.1317568705, T[GXB-CO][GYB-CO]=   0.0000000000
Iteration 2100, dt    1.0775996080, T[GXB-CO][GYB-CO]=   0.0000000000
Iteration 2200, dt    1.0283330957, T[GXB-CO][GYB-CO]=   0.0000000000
Iteration 2300, dt    0.9834165666, T[GXB-CO][GYB-CO]=   0.0000000000
Iteration 2400, dt    0.9423413730, T[GXB-CO][GYB-CO]=   0.0000000000
Iteration 2500, dt    0.9045058075, T[GXB-CO][GYB-CO]=   0.0000000000
Iteration 2600, dt    0.8695322014, T[GXB-CO][GYB-CO]=   0.0000000000
Iteration 2700, dt    0.8370989263, T[GXB-CO][GYB-CO]=   0.0000000000
Iteration 2800, dt    0.8070186626, T[GXB-CO][GYB-CO]=   0.0000000000
Iteration 2900, dt    0.7791104778, T[GXB-CO][GYB-CO]=   0.0000000000
Iteration 3000, dt    0.7530085096, T[GXB-CO][GYB-CO]=   0.0000000000
Iteration 3100, dt    0.7286259458, T[GXB-CO][GYB-CO]=   0.0000000000
Iteration 3200, dt    0.7057917888, T[GXB-CO][GYB-CO]=   0.0000000000
Iteration 3300, dt    0.6842766670, T[GXB-CO][GYB-CO]=   0.0000000000
Iteration 3400, dt    0.6639630431, T[GXB-CO][GYB-CO]=   0.0000000000
Iteration 3500, dt    0.6449614700, T[GXB-CO][GYB-CO]=   0.0000000000
Iteration 3600, dt    0.6269622218, T[GXB-CO][GYB-CO]=   0.0000000000
Iteration 3700, dt    0.6098756887, T[GXB-CO][GYB-CO]=   0.0000000000
Iteration 3800, dt    0.5937562621, T[GXB-CO][GYB-CO]=   0.0000000000
Iteration 3900, dt    0.5784063297, T[GXB-CO][GYB-CO]=   0.0000000000
Iteration 4000, dt    0.5639291066, T[GXB-CO][GYB-CO]=   0.0000000000
Final values, iteration 4001, dt    0.5639291066, T[GXB-CO][GYB-CO]=5936.1984070568
Total time for mesh GRID(X,Y)=(     8192,     4096) was     7.511482 seconds.
